name,funding_amount,city,country,industry,funding_stage,description,investors,startup_age,team_background,traction_indicators,valuation,round_type,language,region_category,company_website,article_keywords,url,publish_date,founder_linkedin
ONiO,5000000.0,Oslo,Norway,"IoT, microcontrollers, sustainable technology",Series A,"ONiO develops ultra-low-power microcontrollers that run entirely on ambient energy, eliminating the need for batteries in IoT devices.","node.vc, Maki.vc, EIC Fund, MP Pension",8,Not mentioned,"ONiO.zero microcontroller tested in solar keyboards, electronic shelf labels, air quality sensors, asset trackers, and soil sensors.",Not mentioned,Series A,English,EU,Not mentioned,"IoT, microcontrollers, ambient energy, sustainable technology, RISC-V, wireless, power-agnostic",https://www.eu-startups.com/2025/06/norwegian-energy-startup-onio-raises-e5-million-for-worlds-lowest-power-mcu/,"June 20, 2025",Not mentioned
Ostrom,20000000.0,German,Germany,"green energy, digital energy provider",Series B,Ostrom is a digital green energy provider offering full transparency and control over household electricity with a flat monthly fee and electricity-at-cost.,"Eneco Ventures, SE Ventures, Union Square Ventures, Adjacent, Übermorgen, J12",3,"Matthias Martensen (Co-founder and CEO), Karl Villanueva (Co-Founder & CMO/CPO)","tripling of its customer base, launch of the largest electric vehicle Virtual Power Plant (VPP) in Germany, more than half of customer operations resolved automatically through AI",40000000,Series B,English,EU,https://www.ostrom.de,"green energy, digital energy provider, smart meters, virtual power plant, AI, renewable energy, grid stability",https://www.eu-startups.com/2025/06/berlin-based-ostrom-raises-e20-million-to-accelerate-germanys-smart-energy-capability/,"June 20, 2025",
CaseCraft.AI,644000.0,UK,UK,LegalTech,Pre-Seed,CaseCraft.AI has developed a proprietary platform designed to assist individuals and businesses across the UK in filing and defending small claims.,Mount Venture Capital Fund,2023,"qualified lawyers, software development expert, specialist in finance and investment","proprietary platform, team expansion",3500000,Pre-Seed,English,UK,,"LegalTech, Small Claims, AI, UK, funding, Mount Venture Capital Fund",https://www.eu-startups.com/2025/06/london-based-startup-casecraft-ai-raises-e644k-to-further-develop-its-small-claims-platform/,"June 19, 2025",
Winalist,1000000.0,Champagne,France,"wine tourism, marketplace",Funding round,A leading European marketplace for booking wine and spirits tourism experiences.,"Vessoa Private Equity, Plug and Play Ventures, Portugal Ventures",2019,"Nicolas Manfredini, CEO","Works with over 1,700 partners in 10 countries, collaborates with more than 200 family owned wineries in Portugal",,Funding round,English,EU,,"wine tourism, marketplace, expansion, Portugal, wineries, booking platform",https://www.eu-startups.com/2025/06/french-startup-winalist-secures-e1-million-to-boost-wine-tourism-and-expand-internationally/,"June 19, 2025",
Delfio,1500000.0,Amsterdam,Netherlands,"FinTech, B2B procurement, consumer electronics",Pre-Seed,Delfio is a data-driven procurement platform that organises collective purchasing for professional buyers across Europe.,Peak,2025,seasoned traders and technology experts,"platform launched this week, operates hubs in the US, Dubai, Hong Kong, and Amsterdam",,Pre-Seed,English,EU,,"FinTech, B2B procurement, consumer electronics, wholesale market, automation, data-driven",https://www.eu-startups.com/2025/06/dutch-fintech-startup-delfio-raises-e15-million-for-automation-platform/,"June 19, 2025",
,,,,,,,,,,,,,,,,,https://www.eu-startups.com/2025/06/weekly-funding-round-up-all-of-the-european-startup-funding-rounds-we-tracked-this-week-jun-23-jun-27/,"June 27, 2025",
27pilots,,,,,,Produces reports on venture clienting and startup collaborations.,,,,,,,,,,"venture clienting, startups, corporate collaboration, innovation, agility",https://www.eu-startups.com/2025/06/unlocking-innovation-and-agility-five-reasons-why-corporates-should-work-with-startups/,"June 27, 2025",
Nomupay,35000000.0,Dublin,Ireland,"Payments, Fintech",Series Unknown,"Nomupay innovates how modern businesses manage payments across fragmented, fast-growth markets with a unified payment platform.",SBPS,2021,"Peter Burridge, Group CEO","Partnership with SBPS, total investment over €105 million, expansion in Asia",254000000,Series Unknown,English,EU,,"payments, fintech, Asia, partnership, investment, cross-border, unified platform",https://www.eu-startups.com/2025/06/irish-fintech-startup-nomupay-has-just-raised-e35-million-to-expand-and-enter-the-japanese-market/,"June 3, 2025",
Iron Wolf Capital,100000000.0,Vilnius,Lithuania,"DeepTech, AI, robotics, photonics, space innovation",Seed,Early-stage VC fund focused on DeepTech and AI startups across the Baltics.,"ILTE, Tobias Mohr, Dr Vladas Laša, Renaldas Zioma",7,"Technical, operational, and financial experience; includes ex-CTO of YPlan, investment management and banking experts, and former portfolio managers.","22 investments in Fund I, notable companies include Turing College, Litillit, eAgronom, EyeVi Technologies, RedTrack, and Roq.ad.",,Seed,English,EU,,"DeepTech, AI, Baltic startups, VC fund, Seed-stage, robotics, photonics, space innovation",https://www.eu-startups.com/2025/06/lithuanian-vc-fund-iron-wolf-capital-launches-e100-million-fund-to-target-25-early-stage-companies-across-the-baltics/,"June 3, 2025",
Scalable Capital,155000000.0,Munich,Germany,"FinTech, Digital Investment",Series Unknown,Digital investment platform empowering everyone to shape their financial future.,"Sofina, Noteus Partners, Balderton Capital, Tencent, HV Capital",2014,Founders Erik Podzuweit and Florian Prucker,"Over €30 billion held on the platform by more than one million customers, employs more than 600 people, launched European Investor Exchange, offers private equity investments through ELTIFs, plans to launch kids' accounts.",,,English,EU,,"FinTech, digital investment, retail investors, ETFs, stock exchange, private equity, ELTIFs, kids' accounts",https://www.eu-startups.com/2025/06/german-startup-scalable-capital-receives-e155-million-to-continue-to-expand-its-digital-investment-platform/,"June 3, 2025",
Treefera,26200000.0,London,UK,"AI, supply chain, data analytics",Series B,AI-enabled data fabric transforming first-mile supply chain visibility by analyzing spatial and temporal data in near real time.,"Notion Capital, AlbionVC, Triple Point, Twin Path Ventures, Endeit Capital",2022,"Founder and CEO Jonathan Horn, CRO and Co-founder Caroline Grey","Supported enterprises across energy, pharmaceutical, insurance, agriculture, and forestry industries; onboarded partners in agriculture, finance, and energy sectors.",,Series B,English,UK,,"AI, supply chain resilience, data fabric, Series B funding, Notion Capital, climate tech, decarbonisation, geospatial analytics",https://www.eu-startups.com/2025/06/british-startup-treefera-secures-e26-2-million-to-meet-demand-for-supply-chain-transparency/,"June 3, 2025",
Kota,12800000.0,Irish,Ireland,"Insurance, Employee Benefits, API",Series A,Kota is an insurance benefits platform and API that makes employee benefits globally accessible and frictionless for employees.,"Eurazeo, EQT Ventures, Northzone, Frontline Ventures, 9Yards, Plug and Play",2023,"Luke Mackey, Founder and CEO","Obtained Central Bank of Ireland Authorisation, launched Kota Embed, partnerships with Remote.com, Zoe Health, Poolside, Carwow, Tines, &Open, Protex AI, Vitality, ONVZ, Sanitas, Allianz Global Care",,Series A,English,EU,,"insurance benefits, API, employee benefits, HR, embedded insurance, Central Bank of Ireland Authorisation",https://www.eu-startups.com/2025/05/dublin-based-kota-closes-e12-8-million-to-build-the-internets-employee-benefits-infrastructure/,"May 22, 2025",
Keen Venture Partners,40000000.0,Amsterdam,Netherlands,"DeepTech, cybersecurity, information superiority, robotics, AI, autonomous systems, space technology",,Dutch VC firm specializing in DeepTech ventures with a focus on defence and security technology.,European Investment Fund (EIF),8,"Alexander Ribbink, Giuseppe Lacerenza, military leaders, industry veterans, policymakers",Portfolio includes over 30 startups and scale-ups across Europe,,,English,EU,,"defence, security, DeepTech, venture capital, European Investment Fund, cybersecurity, AI, robotics, space technology",https://www.eu-startups.com/2025/05/amsterdam-based-vc-firm-keen-venture-partners-secures-eif-backing-for-new-e40-million-defence-tech-fund/,"May 22, 2025",
Tomorrow.Bio,5000000.0,Berlin,Germany,"Cryonics, Biostasis, Longevity",Seed,"Europe’s first cryonics lab offering long-term cryopreservation services for individuals who choose to be stored at ultra-low temperatures after legal death, with the goal of potentially being revived in the future when medical technologies have advanced.","Blast.Club, Truventuro",2020,"Dr Emil Kendziorra (doctor and former cancer researcher, serial entrepreneur), Fernando Azevedo Pinheiro (serial entrepreneur)","20 people and 10 pets cryopreserved, more than 800 signed up, total contract value surpassed €160 million",,Seed,English,EU,,"cryonics, biostasis, longevity, medical advances, cryopreservation, R&D, expansion",https://www.eu-startups.com/2025/05/cryo-now-heal-later-europes-first-cryonics-lab-tomorrow-bio-eyes-u-s-expansion-with-e5-million-in-fresh-funding/,"May 22, 2025",
Converge,19400000.0,,British,"construction technology, AI, decarbonisation",Investment round,"Converge is a construction technology company that leverages AI models, proprietary sensor data, and advanced software capabilities to optimise concrete usage and production, reducing carbon emissions.","ABN AMRO Sustainable Impact Fund (SIF), Climate Investment (CI), Move Energy, Pi Impact, J-Impact, TO Ventures, Force Over Mass Capital",2014,"Raphael Scheps (CEO & Co-founder), Gideon (Co-founder)","ConcreteDNA platform, reportedly reducing carbon emissions, optimising concrete usage and production",,Investment round,English,UK,,"AI, concrete management, decarbonisation, construction technology, sustainability, investment round",https://www.eu-startups.com/2025/05/converge-a-london-based-startup-raises-e19-4-million-to-decarbonise-concrete-with-ai/,"May 21, 2025",
Flip,25000000.0,Stuttgart,Germany,"software, AI, HR, communications, operations",Series A extension,"Flip provides a platform for deskless workers, digitizing all touchpoints between employees and their organizations to streamline workflows.","LEA Partners, HV Capital, Notion Capital, Roland Berger",2018,"Founded by Benedikt Brand, ex-Porsche trainee","Used by over 500 companies including McDonald’s, Rossmann, Bosch, Porsche; acquired The Bot Platform in 2024",,Series A,English,EU,,"AI, deskless workers, digitalisation, HR, automation, global expansion",https://www.eu-startups.com/2025/05/german-scale-up-flip-secures-e24-7-million-to-expand-new-ai-powered-capabilities-for-deskless-workers/,"May 21, 2025",
Veesion,38000000.0,,France,"AI, retail security, computer vision",Series B,Veesion builds AI tools to detect suspicious behavior in physical stores.,"White Star Capital, Red River West, Bpifrance, Odyssée Ventures, Verve Ventures, Founders Future",2018,,"Over 5,000 stores across 25 countries use Veesion, with clients reporting immediate reductions in shrinkage and improved margins by up to 50%.",,Series B,English,EU,,"AI, retail security, computer vision, gesture recognition, international expansion",https://www.eu-startups.com/2025/05/paris-based-veesion-raises-e53-million-to-stop-shoplifting-with-ai-that-understands-gestures/,"May 21, 2025",
Legora,70600000.0,Stockholm,Sweden,LegalTech,Series B,"Legora is a collaborative AI platform for lawyers, serving over 250 law firms and in-house legal teams across 20 countries.","ICONIQ, General Catalyst, Redpoint Ventures, Benchmark, Y Combinator",2023,Co-founded by CEO Max Junestrand and CTO Sigge Labor,"Serving over 250 law firms and in-house legal teams across 20 countries, 100 employees, offices in New York, Stockholm, and London",596000000,Series B,English,EU,,"LegalTech, AI, collaborative platform, law firms, in-house legal teams, funding, valuation, Series B",https://www.eu-startups.com/2025/05/swedish-legaltech-startup-legora-attracts-e70-6-million-for-collaborative-ai-aimed-at-law-firms-and-legal-teams/,"May 21, 2025",
ReproNovo,57000000.0,Lausanne,Switzerland,"HealthTech, reproductive medicine, women’s health",Series A,"ReproNovo is innovating treatments for reproductive medicine and women’s health, focusing on male and female infertility as well as uterine health.","Jeito Capital, AXA IM, M Ventures, Ysios Capital, ALSA Ventures",2021,"Jean Marie Duvall (CEO), Joan-Carles Arce, MD, PhD (CSO and Medical Officer), BingMei Hao (CFO), with a track record in clinical development and commercial launches",Pipeline comprising two Phase 2 clinical-stage assets across three disease areas,,Series A,English,EU,,"HealthTech, reproductive medicine, women’s health, infertility, clinical development, Phase 2, adenomyosis, assisted reproductive technologies",https://www.eu-startups.com/2025/05/swiss-healthtech-company-repronovo-raises-e57-million-to-tackle-declining-fertility-rates/,"May 21, 2025",
